y_pred,n_assets,confidence_mean,confidence_min,pct_high_conf,pct_match_llm,pct_total
Finance & Contrôle,7374,0.9509551125576349,0.321,0.9323298074315162,0.985353946297803,0.3687
IT & Sécurité,5348,0.9019010658189978,0.3552,0.8595736724008975,0.9497008227374719,0.2674
Other,2578,0.8363110550814585,0.3273,0.7401086113266098,0.8820791311093871,0.1289
Achats & Fournisseurs,2184,0.9098111263736264,0.3768,0.8676739926739927,0.9537545787545788,0.1092
Supply Chain / Logistique / Production,1400,0.8816360714285715,0.3113,0.7964285714285714,0.9707142857142858,0.07
RH,808,0.8740810643564357,0.3271,0.7623762376237624,0.9702970297029703,0.0404
Ventes & Clients,308,0.8320483766233766,0.4416,0.685064935064935,0.9545454545454546,0.0154
