asset_id,technical_name,source_ref,asset_type,label_normalized,predicted_label,text_combined,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_normalized_clean,label_raw,is_correct
1004281,SYSADM.PS_ACCESS_GRP_TBL,PS_ACCESS_GRP_TBL,oracle_table,Technique,Technique,SYSADM.PS_ACCESS_GRP_TBL PS_ACCESS_GRP_TBL oracle_table,3,1,2,0,0,3,1,16.666666666666664,30.0,525.0,40425.0,0.0385522842407226,VRAI,Technique,IT,True
1004582,SYSADM.PS_AE_STMT_TMP,PS_AE_STMT_TMP,oracle_table,Technique,Technique,SYSADM.PS_AE_STMT_TMP PS_AE_STMT_TMP oracle_table,11,1,10,1,1,9,1,748.4545454545455,8192.0,0.0,0.0,0.0,VRAI,Technique,IT,True
1004642,SYSADM.PS_AGC_TMPL_LNG,PS_AGC_TMPL_LNG,oracle_table,Technique,Technique,SYSADM.PS_AGC_TMPL_LNG PS_AGC_TMPL_LNG oracle_table,6,2,4,0,1,5,2,20.0,100.0,0.0,0.0,0.0,VRAI,Technique,IT,True
1004534,SYSADM.PS_AE_AM_UPG_AET,PS_AE_AM_UPG_AET,oracle_table,Technique,Technique,SYSADM.PS_AE_AM_UPG_AET PS_AE_AM_UPG_AET oracle_table,63,4,59,9,3,51,1,84.14285714285714,4000.0,0.0,0.0,0.0,VRAI,Technique,IT,True
1004578,SYSADM.PS_AE_STMT_COMPILE,PS_AE_STMT_COMPILE,oracle_table,Technique,Technique,SYSADM.PS_AE_STMT_COMPILE PS_AE_STMT_COMPILE oracle_table,10,2,8,1,1,8,1,823.2,8192.0,0.0,0.0,0.0,VRAI,Technique,IT,True
1004598,SYSADM.PS_AGC_CAT_CTXD,PS_AGC_CAT_CTXD,oracle_table,Technique,Technique,SYSADM.PS_AGC_CAT_CTXD PS_AGC_CAT_CTXD oracle_table,10,0,10,0,1,9,1,29.0,127.0,0.0,0.0,0.0,VRAI,Technique,IT,True
1004614,SYSADM.PS_AGC_CAT_STEPLNG,PS_AGC_CAT_STEPLNG,oracle_table,Technique,Technique,SYSADM.PS_AGC_CAT_STEPLNG PS_AGC_CAT_STEPLNG oracle_table,8,3,5,0,1,7,2,21.625,100.0,0.0,0.0,0.0,VRAI,Technique,IT,True
1004618,SYSADM.PS_AGC_CTXDTA_LNG,PS_AGC_CTXDTA_LNG,oracle_table,Technique,Technique,SYSADM.PS_AGC_CTXDTA_LNG PS_AGC_CTXDTA_LNG oracle_table,5,1,4,0,0,5,1,26.6,100.0,0.0,0.0,0.0,VRAI,Technique,IT,True
1004609,SYSADM.PS_AGC_CAT_STEP,PS_AGC_CAT_STEP,oracle_table,Technique,Technique,SYSADM.PS_AGC_CAT_STEP PS_AGC_CAT_STEP oracle_table,36,1,35,0,1,35,2,35.25,127.0,9.0,3132.0,0.0029869079589843,VRAI,Technique,IT,True
