asset_id,source_system,asset_type,technical_name,source_ref,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_raw,label_normalized
1005168,oracle,oracle_table,SYSADM.PS_AMAROMASS_AET,PS_AMAROMASS_AET,11,0,11,5,0,6,0,10.272727272727272,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005169,oracle,oracle_table,SYSADM.PS_AM_ARO_RPT_AET,PS_AM_ARO_RPT_AET,35,3,32,5,2,28,1,122.88571428571429,4000.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005170,oracle,oracle_table,SYSADM.PS_AM_ASSET_IOT,PS_AM_ASSET_IOT,12,1,11,0,0,12,1,199.25,2000.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005171,oracle,oracle_table,SYSADM.PS_AM_ASSET_SD,PS_AM_ASSET_SD,31,5,26,11,5,15,0,14.193548387096774,50.0,3.0,282.0,0.0002689361572265,VRAI,Finance,Finance
1005172,oracle,oracle_table,SYSADM.PS_AM_ASST_AUD_AET,PS_AM_ASST_AUD_AET,7,0,7,3,0,4,0,7.571428571428571,15.0,3.0,51.0,4.86373901367e-05,VRAI,Finance,Finance
1005173,oracle,oracle_table,SYSADM.PS_AM_ASST_AUD_ARC,PS_AM_ASST_AUD_ARC,14,1,13,4,1,9,0,46.85714285714285,254.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005174,oracle,oracle_table,SYSADM.PS_AM_ASST_AUD_TBL,PS_AM_ASST_AUD_TBL,12,1,11,3,1,8,0,51.5,254.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005175,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO,PS_AM_AST_1_TAO,4,0,4,2,0,2,0,13.75,28.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005176,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO1,PS_AM_AST_1_TAO1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005177,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO2,PS_AM_AST_1_TAO2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005178,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO3,PS_AM_AST_1_TAO3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005179,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO4,PS_AM_AST_1_TAO4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005180,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO5,PS_AM_AST_1_TAO5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005181,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO6,PS_AM_AST_1_TAO6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005182,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO7,PS_AM_AST_1_TAO7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005183,oracle,oracle_table,SYSADM.PS_AM_AST_1_TAO8,PS_AM_AST_1_TAO8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005184,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO,PS_AM_AST_2_TAO,3,0,3,2,0,1,0,16.666666666666664,28.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005185,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO1,PS_AM_AST_2_TAO1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005186,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO2,PS_AM_AST_2_TAO2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005187,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO3,PS_AM_AST_2_TAO3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005188,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO4,PS_AM_AST_2_TAO4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005189,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO5,PS_AM_AST_2_TAO5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005190,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO6,PS_AM_AST_2_TAO6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005191,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO7,PS_AM_AST_2_TAO7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005192,oracle,oracle_table,SYSADM.PS_AM_AST_2_TAO8,PS_AM_AST_2_TAO8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
